"number","name","cmt","desc","symbol","url","Latitude","Longitude"
4905,"Iivarinsalo ","Waste disposal,  Outhouse toilet,  Barbecue shelter,  Campfire site,  Landing stage, Buoys","(PSS)","naturharbor","https://photos.google.com/share/AF1QipMBwRB5UnurPg5I0t-_BVvMbqoqhqn2dCCUfBRF8ojCo0PYwD3RUObTxhN4biKqOA/photo/AF1QipNbCRj2GkosDcZVRIuXUybJMYHSH06jsckM4jKh?key=aXhxNEZBSWRjOE9sNHN3RUdmaUVjUFJfeTc5UE1n","62.827008","27.846726"
,"Ikoinniemi",,,"pier",,"61.774452","29.012495"
4119,"Ilkonsaaret N","Waste disposal,  Outhouse toilet,  Barbecue shelter,  Landing stage","(PSS/EKvas) hermitages, shallow landing stage, sandy beach ","guestharbor",,"61.215000","28.288333"
4119,"Ilkonsaaret S","Waste disposal,  Barbecue shelter (2),  Landing stage, ",,"guestharbor","https://drive.google.com/open?id=1JXDvCjjniO76lQ3r8J6jcONmariftf2pUA","61.209929","28.296657"
,"Iloallionlahti",,,"marina",,"61.871014","28.917447"
,"Ilosaari",,,"pier",,"62.598581","29.771425"
4974,"Ilvessalo ","Waste disposal,  Campfire site, ","(PSS)","naturharbor",,"62.959897","27.566167"
4080,"Imatra","Restaurant, Hotel, Fuel, Septic, Sauna, Slip,",,"marina",,"61.211118","28.723042"
5738,"Iso Korppi ","Waste disposal,  Outhouse toilet,  Campfire site  ","National park","naturharbor",,"63.105000","29.888333"
4741,"Iso Tuunaansaari","Outhouse toilet,  Campfire site","National park","naturharbor","https://drive.google.com/open?id=1Xmt76vzCwJgx6tfnBSDTbmx6nFi36BwhUg","62.060263","28.586754"
,"Iso-Kankainen N","Waste disposal,  Outhouse toilet,  Campfire site, ",,"beach","https://drive.google.com/open?id=1y4dQxdZRfWZR7N5vrPzM3sXpYFbASm4e3Q","61.801569","28.920666"
4517,"Iso-Kankainen S","Waste disposal,  Outhouse toilet,  Barbecue shelter, Campfire site, Buoys","(Metsähallitus) 2 paikkaa luontopolku","naturharbor","https://drive.google.com/open?id=18PvjTH7hGVvL7Jahys_x--sRfdnvKM9Ymg","61.799257","28.923842"
4895,"Iso-Mietti ","Waste disposal,  Outhouse toilet,  Campfire site, lodge  ","(PSS)","naturharbor",,"62.798333","27.818333"
5459,"Itälahti ","Waste disposal,  Outhouse toilet,  Barbecue shelter,  Landing stage","Evl-lut luostariyhteisö","naturharbor",,"62.171667","28.778333"
5680,"Jakokoski","Camping, Sauna,",,"guestharbor",,"62.741841","30.036191"
4652,"Jakosenniemi","Outhouse toilet,  Campfire site, Buoys, the mounting bolts ",,"naturharbor",,"61.960000","29.386667"
5116,"Jännevirta","Grocery, Fuel by carrying,",,"pier",,"62.971737","27.827650"
4239,"Jantinsaari","Outhouse toilet,  Campfire site","(Pss)","naturharbor",,"61.501667","27.651667"
4773,"Järvisydän","Cottages, Restaurant, Septic, Sauna,",,"resort",,"62.120216","28.311510"
,"Joensuu itäranta",,,"pier",,"62.600852","29.772047"
,"Joensuu matkustajasatama",,,"pier",,"62.596043","29.761984"
,"Joensuu port",,,"port",,"62.584159","29.752843"
5477,"Jouhivuori ","Outhouse toilet,  Campfire site, Shelter","rock rings","naturharbor","https://drive.google.com/open?id=1pgyukRbF4MI3lZc-ok7PDox-RZn6pLxC7Q","62.142894","28.891045"
5311,"Jurikasalmi","Septic,",,"pier",,"62.559524","28.786379"
5838,"Juuka","Hotel,",,"marina",,"63.247062","29.276528"
5323,"Juurikkalahti ","Waste disposal,  Outhouse toilet, Campfire site, Landing stage, ",,"naturharbor",,"62.735000","28.441667"
