"name","description","type","link","latitude","longitude"
"_DSF6861.jpeg","","photography","https://drive.google.com/open?id=1R85hyNYVL0EmzJSCxh91hIG8lySz8aLIyQ","61.65825","28.991588"
"_DSF6862.jpeg","","photography","https://drive.google.com/open?id=1T6iemZSR2C2-JetfjSOY32yu1EDjSamxYw","61.659065","28.995022"
"_DSF6863.jpeg","","photography","https://drive.google.com/open?id=1tNxl_awMBMRHuEZmIaM3hesR9w9aY15qrQ","61.659553","28.990902"
"_DSF6865.jpeg","","photography","https://drive.google.com/open?id=1aK5oWcsB1G_AO7YupYwyqb0jKOxtYqvPPg","61.655805","28.990558"
"_DSF6868.jpeg","","photography","https://drive.google.com/open?id=1KELmNFj2XQrSEXpxkkyM6e-kr3YccdZnEg","61.660613","28.98764"
"_DSF6869.jpeg","","photography","https://drive.google.com/open?id=1i6NpyofOCns8iyoN2ybBtNfqOytPNrfqLw","61.682016","28.973907"
"_DSF6875.jpeg","","photography","https://drive.google.com/open?id=1mAACHk4pAv3KDi6rAs9GydWUXZNV6AVTRw","61.655153","29.026520999908"
"_DSF6877.jpeg","","photography","https://drive.google.com/open?id=1R2tqTjvcpnpPfqk5vP4wWUN9MudBzGWc3w","61.679033","28.978606"
"_DSF6878 - _DSF6880.jpg","","photography","https://drive.google.com/open?id=18d76rqTH6hNMd2ePwtvFjyS-Id4Ol-uY4Q","61.679593","28.978242"
"_DSF6928.jpeg","","photography","https://drive.google.com/open?id=1xGpLiN4tINie-TlDgqIcfYmJhAq7rz3xeg","61.638634","29.169708"
"_DSF6930.jpeg","","photography","https://drive.google.com/open?id=1gkaz6ut3xmiIN7EbIfZCht-VWHHdU33wKw","61.63892","29.170095"
"_DSF6932.jpeg","","photography","https://drive.google.com/open?id=1QkjUirpklsXRMRcA1Kb3_iup__JQXugGkg","61.638542","29.16973"
"_DSF6933.jpeg","","photography","https://drive.google.com/open?id=1hY4nSXeDg8_6V4s1V3BvPgybXzmSX6rPkw","61.638114","29.16973"
"_DSF6944 - _DSF6946.jpg","","photography","https://drive.google.com/open?id=1Ced2UnVt9fldDYIdr39ALOLV1M9tMPDrUg","61.706924","28.78538"
"_DSF6947.jpeg","","photography","https://drive.google.com/open?id=1F_IAwwYS7kDBamH0AB8_1_hf7bUOKfqbZw","61.65391","28.993348"
"_DSF6950 - _DSF6952.jpg","","photography","https://drive.google.com/open?id=1-m6ZlviWbqUkayaF0sBBhPOdwfpW9NLuug","61.620638","28.547028"
"_DSF6956.jpeg","","photography","https://drive.google.com/open?id=1vSaiR5uTYrKnpgu49Hq5yQU2SbCpHhm_Aw","61.620393","28.546599000086"
"_DSF6957.jpeg","","photography","https://drive.google.com/open?id=1pNuNPr4lTo0NgljQpfM638oGyqHp9lLeYw","61.620801","28.547243000081"
"_DSF6964 - _DSF6966.jpg","","photography","https://drive.google.com/open?id=1RAizUZpoYtl-xL8Rv8XbgCo5DgIrSDddWA","61.619659","28.547628999882"
"_DSF6967.jpeg","","photography","https://drive.google.com/open?id=1sch2YjbwkbVUvJe6l4g-81hzAZhHVRKxtg","61.62021","28.547329"
"_DSF6968.jpeg","","photography","https://drive.google.com/open?id=1LXHMbV5l-_KCP9GBMfs8uoEaV-dy__Cf2w","61.62074","28.547586"
"_DSF6969 - _DSF6972.jpg","","photography","https://drive.google.com/open?id=1u6RRcWBaVxypviY5PwxGKqXoaBba2bpqyw","61.626247","28.255118"
"_DSF6974.jpeg","","photography","https://drive.google.com/open?id=1Wvc__-Zc45EiYv17gZ50s5MZsVwzKSH0TA","61.505093","28.140963"
"_DSF6975.jpeg","","photography","https://drive.google.com/open?id=1e4HubsSUr4NiU9DKTEedT4CAoboUtR55_w","61.352084","28.110408"
"_DSF6977.jpeg","","photography","https://drive.google.com/open?id=17bwttZ8kuL2NfFEGA-5PMquVNkuPHz2_PA","61.35086","28.104871"
"_DSF6978 - _DSF6981.jpg","","photography","https://drive.google.com/open?id=1gNtC48BiVKcjdYqHt1htufwUJ9RXlMxXSQ","61.351611","28.112467"
"_DSF6984.jpeg","","photography","https://drive.google.com/open?id=1GCPpNO4OvnS461wHBiAGxaBLLUwdwg5YBw","61.350644","28.113326"
"_DSF6995 - _DSF6997.jpg","","photography","https://drive.google.com/open?id=1brbSBd80XR7xAHcILD2jwRjX5FXPyPdLzw","61.350818","28.1047"
"_DSF7012.jpeg","","photography","https://drive.google.com/open?id=1p02_QQzmiEri1GkExLz3-Sqxbbh91729tg","61.46133","28.120407"
